k,omega_B2_caseA_mV0,omega_B2_caseA_mV1,omega_B2_caseA_mV5,omega_B2_caseA_mV20,omega_B2_caseB_mV0,omega_B2_caseB_mV1,omega_B2_caseB_mV5,omega_B2_caseB_mV20
1.000000000000000048e-04,9.999999315547477338e-05,9.999999954300664779e-05,9.999998427368938375e-05,1.000000908550579247e-04,9.999999315547477338e-05,1.112697337378050331e-04,1.943650580218689663e-04,2.400396696288617428e-04
1.026173641941111855e-04,1.026173681124818184e-04,1.026173650255207930e-04,1.026173627726213879e-04,1.026173075257516326e-04,1.026173681124818184e-04,1.141820682827281576e-04,1.994523114000662154e-04,2.463223500234585587e-04
1.053032343414685303e-04,1.053032376383565750e-04,1.053032376383565479e-04,1.053032329299528506e-04,1.053032502272280893e-04,1.053032376383565750e-04,1.171706283135004489e-04,2.046726995013278545e-04,2.527695301207476654e-04
1.080594034923631141e-04,1.080593971200279188e-04,1.080594049296181735e-04,1.080594135587344075e-04,1.080593896739480333e-04,1.080593971200279188e-04,1.202374032872664231e-04,2.100297399478552986e-04,2.593854310032434008e-04
1.108877116277423537e-04,1.108877105950290237e-04,1.108877133640818601e-04,1.108877154331650597e-04,1.108877105950288746e-04,1.108877105950290237e-04,1.233844601893550571e-04,2.155269680181295586e-04,2.661745048538345084e-04
1.137900468875561544e-04,1.137900456080888183e-04,1.137900471847424886e-04,1.137900375372995557e-04,1.137900284202003224e-04,1.137900456080888183e-04,1.266138745450497160e-04,2.211681024848092072e-04,2.731412533274979416e-04
1.167683468312533779e-04,1.167683455941832528e-04,1.167683452298543515e-04,1.167683453241845349e-04,1.167683748082154878e-04,1.167683455941832528e-04,1.299278208288416961e-04,2.269568742931055779e-04,2.802904000389814750e-04
1.198245997312701624e-04,1.198245995269696780e-04,1.198246064560055957e-04,1.198246006615508630e-04,1.198247824984938404e-04,1.198245995269696780e-04,1.333285060450220972e-04,2.328971588292821947e-04,2.876265971794720786e-04
1.229608459003734850e-04,1.229608443041128451e-04,1.229608443041128722e-04,1.229608486114570941e-04,1.229608731971623648e-04,1.229608443041128451e-04,1.368181930447412474e-04,2.389929244215341852e-04,2.951548513853343575e-04
1.261791790537460860e-04,1.261791772953714172e-04,1.261791772953714985e-04,1.261791702563459132e-04,1.261791843343941294e-04,1.261791772953714172e-04,1.403992238152672995e-04,2.452482449701142288e-04,3.028800972303946886e-04
1.294817477067222776e-04,1.294817464903967889e-04,1.294817478744295157e-04,1.294817394560402932e-04,1.294817307660798937e-04,1.294817464903967889e-04,1.440739874168686619e-04,2.516672828010293539e-04,3.108075628704430387e-04
1.328707566091074180e-04,1.328707574322487506e-04,1.328707578115152473e-04,1.328707511269862590e-04,1.328707912341553911e-04,1.328707574322487506e-04,1.478449302358117771e-04,2.582543291890734860e-04,3.189425356120734211e-04
1.363484682170388197e-04,1.363484683937469144e-04,1.363484714506973592e-04,1.363484779647299722e-04,1.363482955716970577e-04,1.363484683937469144e-04,1.517145698998590526e-04,2.650137830741461408e-04,3.272904286353197213e-04
1.399172042033706390e-04,1.399172099038672188e-04,1.399172036949235135e-04,1.399172066720628547e-04,1.399171146855471466e-04,1.399172099038672188e-04,1.556854962856850442e-04,2.719501488366741289e-04,3.358568173708717693e-04
1.435793470075911072e-04,1.435793483014128193e-04,1.435793421154365004e-04,1.435793544873885689e-04,1.435793576808608567e-04,1.435793483014128193e-04,1.597603503866343408e-04,2.790680847657652538e-04,3.446473944815120266e-04
1.473373414263064326e-04,1.473373399463161757e-04,1.473373411130070787e-04,1.473373431340386141e-04,1.473373109720235925e-04,1.473373399463161757e-04,1.639418577343452143e-04,2.863723159319488034e-04,3.536680862767128952e-04
1.511936962453539466e-04,1.511936917928374661e-04,1.511936953111385408e-04,1.511936986162844656e-04,1.511936819688143336e-04,1.511936917928374661e-04,1.682328114409657282e-04,2.938677217376970698e-04,3.629248624555587760e-04
1.551509859146330591e-04,1.551509852187743239e-04,1.551509838126464513e-04,1.551509828288681798e-04,1.551509927771329395e-04,1.551509852187743239e-04,1.726360794020231969e-04,3.015593113752467304e-04,3.724239340711000168e-04
1.592118522667731637e-04,1.592118586242177909e-04,1.592118540916093443e-04,1.592118397964600515e-04,1.592115831808705423e-04,1.592118586242177909e-04,1.771545913642219735e-04,3.094522194519283543e-04,3.821716264126731946e-04
1.633790062807848747e-04,1.633790052085867177e-04,1.633790065343453666e-04,1.633790057347112717e-04,1.633790440653745679e-04,1.633790052085867177e-04,1.817913749374264784e-04,3.175517081572952916e-04,3.921744545191729664e-04
1.676552298918727976e-04,1.676552286395428793e-04,1.676552331167391623e-04,1.676552357655631664e-04,1.676552278190918859e-04,1.676552286395428793e-04,1.865495171518361851e-04,3.258631927839035535e-04,4.024390712784603886e-04
1.720433778486174720e-04,1.720433756007576690e-04,1.720433781820208073e-04,1.720433777560920110e-04,1.720433626264914763e-04,1.720433756007576690e-04,1.914321952657179892e-04,3.343922223475708356e-04,4.129723763722810545e-04
1.765463796187665974e-04,1.765463806614944590e-04,1.765463794037819647e-04,1.765463790622189509e-04,1.765463872913182377e-04,1.765463806614944590e-04,1.964426763417826153e-04,3.431444724227657086e-04,4.237813291690006238e-04
1.811672413449077991e-04,1.811672420144131302e-04,1.811672388813464888e-04,1.811672400348530597e-04,1.811672290762783273e-04,1.811672420144131302e-04,2.015842972537946988e-04,3.521258204438422121e-04,4.348732675201944279e-04
1.859090478513284210e-04,1.859090481492461715e-04,1.859090517483591497e-04,1.859090450957200981e-04,1.859090614001830048e-04,1.859090481492461715e-04,2.068604921152047418e-04,3.613422411941654539e-04,4.462554764934359105e-04
1.907749647034021230e-04,1.907749649194670548e-04,1.907749630428835308e-04,1.907749628807840845e-04,1.907749537316127009e-04,1.907749649194670548e-04,2.122747844803626492e-04,3.707998806874333517e-04,4.579356175271817597e-04
