eps,c,lambda
1.000000e-03,2.50502354,0.094523
1.211528e-03,2.50383514,0.101236
1.467799e-03,2.50250201,0.108464
1.778279e-03,2.50100678,0.116250
2.154435e-03,2.49933002,0.124642
2.610157e-03,2.49745014,0.133691
3.162278e-03,2.49534302,0.143457
3.831187e-03,2.49298191,0.154003
4.641589e-03,2.49033703,0.165398
5.623413e-03,2.48737538,0.177721
6.812921e-03,2.48406042,0.191057
8.254042e-03,2.48035171,0.205500
1.000000e-02,2.47620469,0.221157
1.211528e-02,2.47157022,0.238142
1.467799e-02,2.46639439,0.256586
1.778279e-02,2.46061807,0.276633
2.154435e-02,2.45417669,0.298444
2.610157e-02,2.44699991,0.322198
3.162278e-02,2.43901139,0.348097
3.831187e-02,2.43012860,0.376366
4.641589e-02,2.42026268,0.407259
5.623413e-02,2.40931844,0.441061
6.812921e-02,2.39719446,0.478092
8.254042e-02,2.38378330,0.518717
1.000000e-01,2.36897197,0.563346
