t,H32_M4,H16_M4,H32_M9,H16_M9,H32_M16,H16_M16,H32_ctrl,H16_ctrl
0,0.44254492,0.41490838,0.79609755,0.72794642,0.55720864,0.48102715,0.024453951,0.0064906808
0.1,0.4382122,0.40445671,0.77120476,0.69975696,0.52286969,0.43496059,0.024406444,0.0066135472
0.2,0.4325634,0.39343749,0.77042868,0.69340315,0.500897,0.41090536,0.025839942,0.0065410082
0.3,0.43543153,0.39094876,0.76866361,0.69825719,0.47348159,0.3805427,0.027151678,0.0068421235
0.4,0.43357135,0.3914006,0.7561292,0.6977629,0.45968002,0.36990153,0.025027391,0.0066976925
0.5,0.43133574,0.38645545,0.73118827,0.67070965,0.46167022,0.37056294,0.026470107,0.0062437686
0.6,0.42845129,0.37738206,0.70615457,0.61514484,0.44691245,0.33733386,0.026319746,0.0064431469
0.7,0.43088243,0.3753701,0.67204408,0.58110026,0.43973581,0.33957844,0.026590226,0.0064011317
0.8,0.43044698,0.37694034,0.65174093,0.54124539,0.43659401,0.34538156,0.026446078,0.0062795003
0.9,0.43094878,0.38160248,0.64182264,0.52746803,0.43243413,0.33557644,0.025178496,0.0063646265
1,0.43411666,0.38618679,0.62015687,0.50078685,0.41146285,0.32201105,0.024343991,0.006259383
1.1,0.43246003,0.39774526,0.58941468,0.48997326,0.39010926,0.30419407,0.024241368,0.0062301186
1.2,0.43645593,0.40373487,0.58081968,0.46019322,0.38256932,0.28457307,0.024841783,0.0071758862
1.3,0.43332773,0.39585984,0.55953883,0.43994602,0.36208116,0.26071316,0.025643767,0.0066463175
1.4,0.43232011,0.39127082,0.55933903,0.42757786,0.34901387,0.25832436,0.02450148,0.0061792851
1.5,0.42938874,0.38591711,0.57196539,0.43993162,0.35125369,0.26527353,0.024175129,0.0066656996
1.6,0.43193499,0.38572796,0.56752089,0.43776541,0.3454611,0.24609873,0.025594412,0.0069048973
1.7,0.42879423,0.38444064,0.55635532,0.41037611,0.33107103,0.23012809,0.023485718,0.0059659933
1.8,0.42827938,0.38846572,0.54203081,0.40855867,0.32732589,0.22705577,0.024561046,0.0064385626
1.9,0.43004128,0.38843772,0.54254509,0.4117902,0.32812019,0.23376804,0.025644214,0.0070687568
2,0.42918682,0.38803907,0.55037881,0.4067586,0.32490213,0.22056244,0.023535322,0.0065693205
2.1,0.42868087,0.38761898,0.56275129,0.44742969,0.29841294,0.20880031,0.023671825,0.0066690178
2.2,0.42887736,0.37993711,0.56916366,0.43234439,0.29518962,0.19107538,0.023662263,0.0060629949
2.3,0.42798997,0.37883471,0.55790598,0.45647517,0.28662602,0.19566172,0.024052804,0.0065447163
2.4,0.42540551,0.37043699,0.5640329,0.45289859,0.27138773,0.18641549,0.026085337,0.0070690115
2.5,0.42436991,0.36564986,0.55098486,0.44378431,0.27624152,0.19707569,0.025858307,0.0059686696
2.6,0.42158395,0.36495666,0.53650518,0.41722632,0.27372406,0.18900518,0.025558613,0.0063472649
2.7,0.42010455,0.36457611,0.52566608,0.41150751,0.26711489,0.18841177,0.024277882,0.0061975929
2.8,0.41855813,0.36252913,0.52069837,0.40058054,0.26169343,0.17500961,0.025124653,0.0064271901
2.9,0.41895757,0.3616075,0.50523329,0.37663253,0.26040534,0.17853866,0.024384902,0.0059751496
3,0.41963349,0.36035403,0.50342279,0.37382597,0.26012705,0.18509062,0.024383196,0.0061052422
3.1,0.4175201,0.35993523,0.51956893,0.39977824,0.24822997,0.16950851,0.024956382,0.0061964313
3.2,0.41887635,0.36075931,0.51916185,0.3961304,0.23845339,0.1696961,0.024893898,0.0067060105
3.3,0.41808457,0.3611902,0.50233212,0.38590561,0.23739529,0.17339593,0.027264676,0.0077295203
3.4,0.4188814,0.3635582,0.50191022,0.37918402,0.23566012,0.16444249,0.025838689,0.0070342764
3.5,0.42390206,0.37152332,0.49472232,0.36535709,0.23486532,0.16693463,0.025235862,0.0073889693
3.6,0.42200696,0.37516111,0.49610694,0.36319841,0.24379948,0.17902925,0.025068271,0.0062213264
3.7,0.42305501,0.38268906,0.50848335,0.3818802,0.2342632,0.16139633,0.026053076,0.006440333
3.8,0.42665257,0.38664822,0.51492403,0.39160484,0.23269546,0.16111553,0.026637976,0.0070680358
3.9,0.42840497,0.38314414,0.52843728,0.42761097,0.22164031,0.15082312,0.027088718,0.0062358869
4,0.43322762,0.38435242,0.52150727,0.41593044,0.21553958,0.15127702,0.025400584,0.0067678334
4.1,0.43117306,0.38808524,0.51762324,0.4070342,0.21498401,0.151987,0.025217465,0.0067928329
4.2,0.43576648,0.39692284,0.49984435,0.36553868,0.21820625,0.14845717,0.024959991,0.006228224
4.3,0.4340462,0.40161425,0.49561271,0.37822755,0.21419605,0.14144967,0.025193543,0.0066960895
4.4,0.43595904,0.40366677,0.47900541,0.3617289,0.20724426,0.13604935,0.026267735,0.0065996142
