t,H32_M4generic,H16_M4generic
0,1.0556196,0.96381005
0.1,0.99255032,0.8993435
0.2,0.95329217,0.85818267
0.3,0.91045505,0.79617296
0.4,0.88389406,0.75704431
0.5,0.8582825,0.72547452
0.6,0.84223861,0.70744029
0.7,0.83690039,0.69572159
0.8,0.82991567,0.67984397
0.9,0.79553558,0.63521689
1,0.76288021,0.57625658
1.1,0.74446294,0.55567139
1.2,0.73873152,0.55903764
1.3,0.72025108,0.54965774
1.4,0.70138568,0.54496806
1.5,0.69315669,0.5346184
1.6,0.67339095,0.50278683
1.7,0.64032143,0.4486754
1.8,0.60720501,0.4250856
1.9,0.58126615,0.40503463
2,0.56173731,0.38834266
2.1,0.55550307,0.37911623
2.2,0.53582653,0.35408423
2.3,0.52339817,0.3595795
2.4,0.52360426,0.33995065
2.5,0.48372569,0.32770167
2.6,0.51145572,0.33892469
2.7,0.52008948,0.35059136
2.8,0.5172213,0.34493968
2.9,0.49051243,0.31254519
3,0.47032213,0.30229899
3.1,0.47676867,0.29295847
3.2,0.45760794,0.29864392
3.3,0.45724431,0.3038559
3.4,0.46988232,0.30538102
3.5,0.44041096,0.29570796
3.6,0.40779947,0.27503591
3.7,0.40149968,0.25468812
3.8,0.39657781,0.24608553
3.9,0.38095381,0.23308422
4,0.35574124,0.23014263
4.1,0.34241932,0.21909858
4.2,0.35662532,0.22791488
4.3,0.36805842,0.23292477
4.4,0.35891898,0.23908798
4.5,0.33971858,0.21722347
4.6,0.32729402,0.21083112
4.7,0.33142543,0.22223626
4.8,0.33261699,0.21330083
4.9,0.3160395,0.22407419
5,0.30301298,0.18739994
5.1,0.29450867,0.18739078
5.2,0.30584329,0.2046514
5.3,0.31324823,0.18408718
5.4,0.29338685,0.20729693
5.5,0.30434343,0.19532888
5.6,0.28131491,0.18245911
5.7,0.2656396,0.17272508
5.8,0.25946488,0.17923749
5.9,0.26611118,0.17022315
6,0.26214949,0.1615477
6.1,0.25624347,0.16068708
6.2,0.24585674,0.14944967
6.3,0.24496151,0.15656334
6.4,0.24480538,0.15621505
6.5,0.24398467,0.1619754
6.6,0.22712534,0.14452588
6.7,0.21887622,0.14459707
6.8,0.21956932,0.13849311
6.9,0.22431939,0.1429479
7,0.2283589,0.14374105
7.1,0.21587784,0.13393644
7.2,0.20147668,0.1305906
7.3,0.19894012,0.1235757
7.4,0.1972759,0.11949317
7.5,0.20330298,0.125332
7.6,0.20631571,0.13587034
7.7,0.19918831,0.12717011
7.8,0.18678472,0.11713624
7.9,0.18142959,0.11760524
8,0.18152968,0.11162048
8.1,0.17661315,0.10867304
8.2,0.17667574,0.10610609
8.3,0.17107489,0.11265587
8.4,0.16421318,0.10387415
8.5,0.16673506,0.10188796
8.6,0.16238075,0.10754705
8.7,0.16515349,0.10876998
8.8,0.16751466,0.11119294
8.9,0.16723483,0.10821452
9,0.17207237,0.1080447
9.1,0.16420281,0.10571215
9.2,0.16253145,0.10282779
9.3,0.16190065,0.097828056
9.4,0.15755117,0.09670168
9.5,0.16627198,0.10168076
9.6,0.16359502,0.099440032
9.7,0.16157947,0.099035863
9.8,0.1582793,0.096017265
9.9,0.15078955,0.091557308
10,0.14515368,0.090060383
10.1,0.13910937,0.08486028
10.2,0.13054119,0.079028791
10.3,0.12524607,0.069339686
10.4,0.1226648,0.065895476
10.5,0.12200388,0.072077895
10.6,0.12881485,0.074484452
10.7,0.12660576,0.072196383
10.8,0.12814993,0.073416572
10.9,0.12764666,0.077380971
11,0.12672196,0.074209804
11.1,0.12721223,0.074514344
11.2,0.12160269,0.070880384
11.3,0.11838212,0.067068655
11.4,0.11314884,0.067900906
11.5,0.11326803,0.064341159
11.6,0.11744548,0.068290808
11.7,0.11650957,0.068860883
11.8,0.1139392,0.066771432
11.9,0.11215166,0.061111138
12,0.11114044,0.063120123
12.1,0.10889072,0.063450095
12.2,0.11063466,0.060902801
12.3,0.10623637,0.053197027
12.4,0.10121728,0.0486854
12.5,0.10478394,0.047657491
12.566371,0.099598333,0.05000128
